#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
189;RMC;12/26/2016 9:41:30 PM;49.2097396166667;16.5985261666667;;;;
190;;;;;;;;NMEA message parser not found for RMB.
191;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
192;GSA;;;;;;;
193;GSV;;;;;;;
194;GSV;;;;;;;
195;;;;;;;;NMEA message parser not found for GRM.
196;RMC;12/26/2016 9:41:31 PM;49.2097368666667;16.59851655;;;;
197;;;;;;;;NMEA message parser not found for RMB.
198;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
199;GSA;;;;;;;
200;GSV;;;;;;;
201;GSV;;;;;;;
202;;;;;;;;NMEA message parser not found for GRM.
203;RMC;12/26/2016 9:41:32 PM;49.2097341166667;16.5985069166667;;;;
204;;;;;;;;NMEA message parser not found for RMB.
205;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
206;GSA;;;;;;;
207;GSV;;;;;;;
208;GSV;;;;;;;
209;;;;;;;;NMEA message parser not found for GRM.
210;RMC;12/26/2016 9:41:33 PM;49.20973135;16.5984973;;;;
211;;;;;;;;NMEA message parser not found for RMB.
212;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
213;GSA;;;;;;;
214;GSV;;;;;;;
215;GSV;;;;;;;
216;;;;;;;;NMEA message parser not found for GRM.
217;RMC;12/26/2016 9:41:34 PM;49.2097286;16.5984876666667;;;;
218;;;;;;;;NMEA message parser not found for RMB.
219;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
220;GSA;;;;;;;
221;GSV;;;;;;;
222;GSV;;;;;;;
223;;;;;;;;NMEA message parser not found for GRM.
224;RMC;12/26/2016 9:41:35 PM;49.20972585;16.59847805;;;;
225;;;;;;;;NMEA message parser not found for RMB.
226;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
227;GSA;;;;;;;
228;GSV;;;;;;;
229;GSV;;;;;;;
230;;;;;;;;NMEA message parser not found for GRM.
231;RMC;12/26/2016 9:41:36 PM;49.2097231;16.5984684166667;;;;
232;;;;;;;;NMEA message parser not found for RMB.
233;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
234;GSA;;;;;;;
235;GSV;;;;;;;
236;GSV;;;;;;;
237;;;;;;;;NMEA message parser not found for GRM.
238;RMC;12/26/2016 9:41:37 PM;49.2097203333333;16.5984588;;;;
239;;;;;;;;NMEA message parser not found for RMB.
240;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
241;GSA;;;;;;;
242;GSV;;;;;;;
